PLAYER,WIN,GAME,WIN_PROB
Mello_Ricardo,51,137,0.3723
Mulligan_Martin,51,100,0.51
Pridham_Chris,51,126,0.4048
Rive_Joey,51,121,0.4215
Voltchkov_Vladimir,51,120,0.425
Alonso_Julian,50,114,0.4386
Damiani_Jose_Luis,50,114,0.4386
Leonard_Tom,50,162,0.3086
Mandarino_Jose_Edison,50,121,0.4132
Anderson_Mal,49,91,0.5385
Azar_Roberto,49,139,0.3525
Dancevic_Frank,49,129,0.3798
Devvarman_Somdev,49,117,0.4188
Doohan_Peter,49,131,0.374
Gil_Frederico,49,115,0.4261
Mannarino_Adrian,49,128,0.3828
Paes_Leander,49,120,0.4083
Rikl_David,49,135,0.363
Sanders_Louk,49,128,0.3828
Goffin_David,48,100,0.48
Golubev_Andrey,48,145,0.331
Kroon_Nicklas,48,113,0.4248
Mamiit_Cecil,48,143,0.3357
Sa_Andre,48,136,0.3529
VilocaPuig_Juan_Albert,48,123,0.3902
Weiss_Robbie,48,126,0.381
Zeballos_Horacio,48,126,0.381
Bastl_George,47,132,0.3561
Freyss_Christophe,47,128,0.3672
Ganzabal_Julian,47,113,0.4159
Knippschild_Jens,47,116,0.4052
Moodie_Wesley,47,110,0.4273
Rennert_Peter,47,106,0.4434
Santana_Manuel,47,82,0.5732
Stadler_Roland,47,120,0.3917
de_Bakker_Thiemo,47,108,0.4352
Chanfreau_JeanBaptiste,46,150,0.3067
Fagel_Rick,46,142,0.3239
Ganzabal_Alejandro,46,110,0.4182
Haillet_JeanLouis,46,132,0.3485
Perkiss_Shahar,46,99,0.4646
Schultz_Bud,46,101,0.4554
Docherty_Steve,45,118,0.3814
Doyle_Matt,45,111,0.4054
Gross_Oliver,45,117,0.3846
Jones_Kelly,45,126,0.3571
Popp_Alexander,45,110,0.4091
Simian_Stephane,45,124,0.3629
Szoke_Peter,45,115,0.3913
Alvarez_Elio_Lito,44,155,0.2839
Buchholz_Earl_Butch,44,77,0.5714
Kim_Kevin,44,139,0.3165
Pless_Kristian,44,124,0.3548
Pospisil_Vasek,44,100,0.44
Sznajder_Andrew,44,104,0.4231
Wostenholme_Martin,44,123,0.3577
Benavides_Ramiro,43,147,0.2925
Cain_Tom,43,110,0.3909
Cramer_Pat,43,138,0.3116
Green_Bob,43,98,0.4388
Greul_Simon,43,114,0.3772
Kuharszky_Zoltan,43,115,0.3739
Levy_Harel,43,126,0.3413
Riglewski_Udo,43,122,0.3525
Sock_Jack,43,86,0.5
Steyn_Christo,43,95,0.4526
Urpi_Gabriel,43,109,0.3945
Van_Herck_Johan,43,112,0.3839
Wessels_Peter,43,101,0.4257
Baranyi_Szabolcz,42,104,0.4038
Gulyas_Istvan,42,84,0.5
Jovanovic_Boro,42,106,0.3962
Meyer_Rick,42,118,0.3559
NGodrella_Wanaro,42,111,0.3784
Reid_Grover_Raz,42,122,0.3443
Simonsson_Hans,42,116,0.3621
Simpson_Jeff,42,122,0.3443
Sousa_Joao,42,95,0.4421
Strelba_Martin,42,110,0.3818
Van_Scheppingen_Dennis,42,115,0.3652
Vassallo_Arguello_Martin,42,119,0.3529
Zirngibl_Werner,42,111,0.3784
Behrend_Tomas,41,113,0.3628
Benfele_Alvarez_Emilio,41,107,0.3832
Delbonis_Federico,41,90,0.4556
Labadze_Irakli,41,120,0.3417
Lisnard_JeanRene,41,120,0.3417
Masso_Eduardo,41,110,0.3727
Pearce_Brad,41,120,0.3417
Rouyer_JeanLoup,41,94,0.4362
Soares_Joao,41,138,0.2971
Whitlinger_John,41,111,0.3694
Zib_Tomas,41,135,0.3037
Addison_Terry,40,124,0.3226
Chiudinelli_Marco,40,114,0.3509
Herrera_Luis,40,102,0.3922
Meinecke_Tore,40,91,0.4396
Odesnik_Wayne,40,99,0.404
Paloheimo_Veli,40,92,0.4348
Sijsling_Igor,40,109,0.367
Tous_Alberto,40,101,0.396
Avendano_Juan,39,116,0.3362
Gurfein_Jim,39,103,0.3786
Hutka_Pavel,39,98,0.398
Joubert_Deon,39,112,0.3482
Nijssen_Tom,39,114,0.3421
Smith_Jonathan,39,110,0.3545
Tabara_Michal,39,91,0.4286
Tieleman_Laurence,39,97,0.4021
Ulrich_Torben,39,142,0.2746
Balcells_Juan,38,84,0.4524
Beck_Andreas,38,99,0.3838
Flur_Marc,38,100,0.38
Gorriz_Marcos_Aurelio,38,114,0.3333
Granat_Jiri,38,105,0.3619
Joyce_Michael,38,94,0.4043
Ventura_Santiago,38,97,0.3918
Berankis_Ricardas,37,80,0.4625
Dell_Dick,37,137,0.2701
Lorenzi_Paolo,37,112,0.3304
Mignot_Bernard,37,85,0.4353
Radulescu_Alex,37,90,0.4111
Rocavert_Terry,37,98,0.3776
Schwank_Eduardo,37,98,0.3776
Segarceanu_Florin,37,99,0.3737
